ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
IDC,3,2022,5.6,2.3,3.9,,0.458,0.13,98,40,22,27.4,6373.0,15545.0,,,,,,0.316,,,0.6,1.9,1.7,0.137,12819,0.392,0.348,0.206,0.6,0.2,0.8,0.3,3.2,2130,0.072,0.041,117,3.7,-0.238,0.5,0.6,0.348,1.1,,,,,,,,,1.6,,0.234,-0.047,
IDC,2,2022,8.7,3.0,5.7,,0.399,0.117,124,49,23,59.3,5604.0,16315.0,,,,,,0.331,,,0.7,2.4,2.1,1.823,10391,0.563,0.541,0.431,0.5,0.2,0.9,0.2,3.0,2510,0.078,0.035,150,2.9,-0.275,0.4,0.8,0.541,1.0,,,,,,,,,1.5,,1.08,0.296,
IDC,1,2022,35.1,5.5,16.9,,0.167,0.042,148,54,26,8.7,1984.0,12591.0,,,,,,0.256,,,0.5,2.0,1.7,0.447,4995,0.248,0.216,0.153,0.7,0.2,2.1,0.6,3.9,2210,0.104,0.026,176,2.5,-0.26,0.3,0.7,0.216,1.0,,,,,,,,,2.1,,0.732,0.063,
IDC,4,2021,46.1,5.3,22.9,,0.121,0.029,142,55,30,2.2,1371.0,11845.0,,,,,,0.241,,,0.4,1.7,1.5,-0.164,2883,0.169,0.094,,0.7,0.2,3.6,0.7,4.2,1742,0.098,0.029,167,2.6,-0.201,0.3,,0.094,0.6,,,,,,,,,2.2,,-0.027,-0.036,
IDC,3,2021,26.2,3.5,26.8,,0.143,0.036,170,60,26,3.5,1640.0,12285.0,,,,,,0.252,,,0.4,2.2,1.9,0.072,2964,0.203,0.152,0.187,0.6,0.2,3.2,0.3,4.0,2250,0.161,0.038,204,2.2,-0.224,0.3,0.7,0.152,1.8,,,,,,,,,2.3,,-0.049,0.041,
IDC,2,2021,19.4,2.5,26.6,,0.139,0.034,156,59,23,2.0,1530.0,11799.0,,,,,,0.253,,,0.4,2.5,2.1,0.627,3116,0.15,0.091,0.184,0.6,0.2,3.1,0.2,4.0,2248,0.114,0.025,192,2.3,-0.172,0.3,0.7,0.091,2.9,,,,,,,,,2.3,,0.001,0.056,
IDC,1,2021,33.0,2.8,14.5,,0.087,0.021,154,56,21,3.8,940.0,11171.0,,,,,,0.247,,,0.4,2.3,1.8,0.03,3112,0.169,0.114,0.051,0.6,0.2,3.0,0.2,4.0,1814,0.081,0.035,189,2.4,-0.181,0.3,0.5,0.114,0.9,,,,,,,,,2.3,,-0.006,0.024,
IDC,4,2020,32.1,2.7,14.0,,0.086,0.021,137,49,25,2.3,913.0,10905.0,,,,,,0.246,,,0.4,2.0,1.7,-0.004,3131,0.159,0.098,0.073,0.6,0.2,2.9,0.3,4.1,1614,0.164,0.071,161,2.7,-0.145,0.3,0.6,0.098,1.2,,,,,,,,,2.3,,-0.017,0.016,
IDC,3,2020,21.2,1.8,15.7,,0.087,0.021,142,49,21,3.2,917.0,10728.0,,,,,,0.248,,,0.4,2.3,1.9,-0.18,3185,0.177,0.132,0.107,0.6,0.2,2.9,0.2,4.0,1854,0.137,0.05,170,2.6,-0.084,0.3,0.6,0.132,1.3,,,,,,,,,2.3,,0.007,0.048,
IDC,2,2020,13.1,1.4,11.3,,0.109,0.026,130,53,20,1.7,1119.0,10241.0,,,,,,0.233,,,0.4,2.0,1.6,-0.074,3162,0.158,0.109,0.035,0.7,0.2,3.1,0.4,4.3,1819,0.171,0.093,163,2.8,-0.088,0.3,0.4,0.109,0.7,,,,,,,,,2.5,,-0.002,-0.032,
IDC,1,2020,10.8,1.2,9.0,,0.114,0.028,141,44,19,2.2,1208.0,10582.0,,,,,,0.24,,,0.4,2.2,1.9,-0.129,3169,0.186,0.12,0.042,0.7,0.2,3.0,0.3,4.2,2022,0.177,0.135,166,2.6,-0.079,0.3,0.5,0.12,0.7,,,,,,,,,2.4,,0.007,-0.075,
IDC,4,2019,12.7,1.5,8.7,,0.12,0.03,38,38,21,2.8,1387.0,11436.0,,,,,,0.24,,,0.4,2.1,1.8,0.082,3148,0.18,0.097,0.064,0.6,0.2,2.9,0.2,4.2,1810,0.124,0.102,55,9.7,-0.15,0.4,1.7,0.097,1.2,,,,,,,,,2.4,,0.054,-0.004,
IDC,3,2019,12.9,1.4,9.6,,0.111,0.027,36,39,22,4.2,1282.0,11486.0,,,,,,0.241,,,0.4,2.1,1.9,0.273,2986,0.174,0.123,0.157,0.6,0.2,3.2,0.2,4.1,1844,0.092,0.07,53,10.3,-0.218,0.3,1.3,0.123,1.7,,,,,,,,,2.4,,-0.066,0.023,
SGP,3,2022,3.6,1.1,8.4,,0.325,0.148,389,7,52,4.3,3638.0,11314.0,,,,,,0.455,,,0.9,2.9,2.8,-0.034,1732,0.368,0.087,0.114,0.1,0.1,0.8,2.2,2.2,1155,0.07,0.064,344,0.9,-0.023,0.2,0.9,0.087,1.5,,,,,,,,,1.1,,-0.08,0.019,
SGP,2,2022,5.4,1.8,7.3,,0.344,0.155,364,6,59,18.0,3766.0,11100.0,,,,,,0.445,,,0.9,2.7,2.7,-0.031,1883,0.372,0.296,0.344,0.1,0.1,0.7,2.3,2.2,1141,0.088,0.083,312,1.0,-0.034,0.2,0.8,0.296,1.4,,,,,,,,,1.1,,-0.075,-0.017,
SGP,1,2022,10.1,3.5,10.7,,0.362,0.162,351,5,61,8.9,3887.0,11293.0,,,,,,0.455,,,0.9,3.0,3.0,-0.053,2037,0.332,0.164,0.167,0.2,0.1,0.7,2.3,2.2,1209,0.074,0.044,296,1.0,-0.029,0.3,0.8,0.164,1.2,,,,,,,,,1.1,,-0.084,0.013,
SGP,4,2021,8.0,2.9,14.5,,0.393,0.172,334,5,57,52.9,4106.0,11145.0,,,,,,0.445,,,0.9,2.8,2.8,1.218,2224,0.46,0.27,1.584,0.2,0.1,0.7,2.4,2.2,1198,0.088,0.033,282,1.1,-0.021,0.3,0.9,0.27,6.2,,,,,,,,,1.1,,0.173,0.006,
SGP,3,2021,19.1,3.2,21.7,,0.182,0.08,424,6,59,59.7,1851.0,11076.0,,,,,,0.458,,,0.9,4.4,4.3,0.076,1896,0.37,0.183,0.191,0.1,0.0,0.6,0.4,2.2,1518,0.11,0.032,370,0.9,-0.036,0.2,0.8,0.183,1.3,,,,,,,,,1.1,,0.033,0.024,
SGP,2,2021,13.3,2.1,19.6,,0.172,0.075,438,6,69,140.2,1720.0,10822.0,,,,,,0.455,,,0.9,4.5,4.4,0.219,1835,0.425,0.343,0.366,0.1,0.0,0.6,0.4,2.2,1441,0.085,0.028,376,0.8,-0.054,0.2,0.8,0.343,1.3,,,,,,,,,1.1,,0.154,0.062,
SGP,1,2021,13.7,1.9,17.9,,0.148,0.063,465,19,87,94.7,1411.0,10190.0,,,,,,0.439,,,0.9,4.4,4.4,0.328,1591,0.375,0.278,0.302,0.1,0.0,0.8,0.3,2.3,1378,0.084,0.033,397,0.8,-0.041,0.2,0.8,0.278,1.3,,,,,,,,,1.1,,0.075,0.044,
