ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
IDC,3,2022,2053,1.278,-0.379,-1249,804,-90.0,714.0,4.206,-0.601,-26,761,614,422,1.505,-0.704,,,,,,986
IDC,2,2022,3308,1.619,0.977,-1446,1862,-73.0,1789.0,14.539,3.948,-30,1831,1467,1426,5.146,4.587,,,,,,1994
IDC,1,2022,1673,0.6,0.502,-1258,416,-54.0,362.0,2.021,2.461,-42,356,284,255,3.811,,,,,,,857
IDC,4,2021,1114,-0.075,0.237,-926,188,-83.0,104.0,-0.114,-0.239,-47,62,36,-1,,,,,,,,201
IDC,3,2021,901,-0.273,-0.287,-718,183,-46.0,137.0,-0.16,0.192,-39,249,198,169,0.276,-0.274,,,,,,222
IDC,2,2021,1263,0.189,0.207,-1074,190,-75.0,115.0,-0.006,-0.038,-56,337,263,232,5.187,3.374,,,,,,219
IDC,1,2021,1046,-0.008,-0.132,-870,177,-57.0,120.0,-0.053,0.015,-31,107,80,53,0.205,-0.395,,,,,,223
IDC,4,2020,1205,-0.137,-0.028,-1013,191,-73.0,118.0,-0.127,-0.278,-51,136,120,88,-0.015,-0.336,,,,,,225
IDC,3,2020,1239,-0.019,0.167,-1020,219,-56.0,163.0,0.047,0.409,-51,207,170,132,-0.335,2.523,,,,,,267
IDC,2,2020,1062,-0.137,0.007,-894,168,-52.0,116.0,0.013,-0.083,-67,83,64,38,-0.44,-0.148,,,,,,218
IDC,1,2020,1055,-0.003,-0.244,-859,196,-70.0,126.0,0.053,-0.064,-59,92,73,44,-0.284,-0.506,,,,,,229
IDC,4,2019,1396,0.034,0.105,-1145,251,-116.0,135.0,0.484,-0.135,-48,155,124,89,0.546,-0.552,,,,,,241
IDC,3,2019,1263,0.052,0.026,-1044,220,-64.0,156.0,-0.177,0.363,-38,262,241,199,0.709,1.967,,,,,,260
IDC,2,2019,1231,-0.237,0.163,-1045,186,-72.0,114.0,-0.4,-0.047,-52,120,100,67,-0.324,0.089,,,,,,220
IDC,1,2019,1058,0.051,-0.216,-878,181,-61.0,120.0,-0.359,0.32,-54,97,83,61,-0.606,0.066,,,,,,222
IDC,4,2018,1350,,0.124,-1168,182,-91.0,91.0,,-0.52,-57,95,80,58,,-0.504,,,,,,193
IDC,3,2018,1201,,-0.255,-969,232,-43.0,189.0,,-0.007,-59,210,192,116,,0.173,,,,,,323
IDC,2,2018,1613,,0.601,-1334,278,-88.0,191.0,,0.018,-84,173,156,99,,-0.364,,,,,,330
IDC,1,2018,1007,,,-783,224,-37.0,187.0,,,-43,187,166,156,,,,,,,,219
SGP,3,2022,262,-0.132,-0.195,-165,96,-73.0,23.0,-0.586,-0.763,-5,34,30,30,-0.482,-0.733,,,,,,50
SGP,2,2022,325,-0.137,0.121,-204,121,-25.0,96.0,-0.255,1.022,-5,137,113,112,-0.189,1.312,,,,,,125
SGP,1,2022,290,-0.086,-0.231,-194,96,-49.0,48.0,-0.46,-0.532,-5,59,50,48,-0.496,-0.919,,,,,,74
SGP,4,2021,377,0.557,0.25,-204,173,-72.0,102.0,2.639,0.847,-2,629,598,597,4.458,9.377,,,,,,125
SGP,3,2021,301,0.401,-0.2,-190,111,-56.0,55.0,0.411,-0.574,-1,70,59,58,0.958,-0.582,,,,,,83
SGP,2,2021,377,0.604,0.188,-217,160,-31.0,129.0,0.749,0.466,-1,165,139,138,0.944,0.438,,,,,,158
SGP,1,2021,317,0.3,0.31,-198,119,-31.0,88.0,0.484,2.153,-1,115,97,96,3.711,-0.125,,,,,,115
SGP,1,2021,317,0.3,0.31,-198,119,-31.0,88.0,0.484,2.153,-1,115,97,96,3.711,-0.125,,,,,,115
SGP,4,2020,242,-0.14,0.125,-145,97,-69.0,28.0,-0.48,-0.284,-1,103,110,109,8.084,2.723,,,,,,55
SGP,3,2020,215,-0.078,-0.084,-145,70,-31.0,39.0,-0.434,-0.471,-1,50,30,29,0.682,-0.585,,,,,,70
SGP,2,2020,235,-0.267,-0.037,-149,86,-12.0,74.0,-0.318,0.244,-1,87,72,71,-0.143,2.485,,,,,,105
SGP,1,2020,244,-0.157,-0.134,-158,85,-26.0,59.0,-0.246,0.106,-1,46,21,20,-0.447,0.687,,,,,,91
SGP,4,2019,282,-0.045,0.207,-168,113,-59.0,54.0,-0.196,-0.221,-2,19,11,12,-0.796,-0.311,,,,,,84
SGP,3,2019,233,-0.097,-0.271,-125,108,-39.0,69.0,-0.088,-0.364,-2,29,20,17,-0.21,-0.788,,,,,,92
SGP,2,2019,320,0.114,0.107,-188,132,-24.0,108.0,0.031,0.375,-2,112,85,83,0.196,1.248,,,,,,140
SGP,1,2019,289,0.215,-0.019,-181,108,-30.0,79.0,0.025,0.179,-2,54,38,37,0.153,-0.377,,,,,,111
SGP,4,2018,295,0.014,0.141,-177,118,-51.0,67.0,0.073,-0.116,-2,82,60,59,0.109,1.667,,,,,,88
SGP,3,2018,258,-0.078,-0.101,-147,112,-36.0,76.0,0.067,-0.281,-2,39,24,22,0.412,-0.679,,,,,,90
SGP,2,2018,287,-0.041,0.207,-158,129,-24.0,105.0,-0.117,0.367,-2,94,71,69,0.352,1.167,,,,,,124
SGP,1,2018,238,-0.18,-0.181,-131,107,-30.0,77.0,0.224,0.234,-3,48,33,32,-0.89,-0.402,,,,,,94
SGP,4,2017,291,-0.327,0.037,-171,120,-58.0,62.0,-0.032,-0.121,-2,95,69,53,7.259,2.398,,,,,,45
SGP,3,2017,280,0.005,-0.065,-167,113,-42.0,71.0,-0.126,-0.405,-2,29,18,16,-0.469,-0.693,,,,,,48
SGP,2,2017,300,0.029,0.032,-192,107,12.0,119.0,0.944,0.895,-3,72,53,51,,-0.823,,,,,,141
SGP,1,2017,290,0.186,-0.328,-193,97,-34.0,63.0,0.095,-0.023,-3,302,290,289,17.17,43.829,,,,,,81
SGP,4,2016,432,0.288,0.549,-232,200,-135.0,64.0,-0.418,-0.206,-1,30,12,6,-0.865,-0.781,,,,,,68
SGP,3,2016,279,,-0.043,-158,121,-40.0,81.0,,0.323,-3,45,32,29,,,,,,,,100
SGP,2,2016,291,,0.19,-188,103,-41.0,61.0,,0.068,-6,17,-1,-3,,,,,,,,82
SGP,1,2016,245,,-0.27,-155,90,-33.0,57.0,,-0.481,-4,25,17,16,,-0.668,,,,,,79
SGP,4,2015,335,,,-180,155,-45.0,110.0,,,-4,64,49,48,,,,,,,,133
KDH,3,2022,803,-0.331,0.096,-293,509,-94.0,416.0,-0.038,-0.057,0,483,345,352,0.111,0.059,,,,,,688.0
KDH,2,2022,733,-0.341,4.132,-235,498,-57.0,441.0,0.205,83.907,1,436,326,332,0.247,0.109,,,,,,175.0
KDH,1,2022,143,-0.829,-0.758,-65,77,-72.0,5.0,-0.982,-0.984,-1,310,300,299,0.46,-0.277,,,,,,8.0
KDH,4,2021,590,-0.543,-0.508,-105,485,-161.0,324.0,-0.332,-0.25,0,533,415,414,0.083,0.309,,,,,,327.0
KDH,3,2021,1199,-0.317,0.078,-722,477,-45.0,432.0,-0.107,0.181,0,401,317,317,-0.124,0.188,,,,,,434.0
KDH,2,2021,1112,0.417,0.329,-640,472,-107.0,366.0,0.071,0.274,-14,338,267,266,0.05,0.299,,,,,,368.0
KDH,1,2021,836,0.193,-0.352,-478,358,-71.0,287.0,0.208,-0.408,-2,268,207,205,0.328,-0.464,,,,,,289.0
KDH,4,2020,1291,0.356,-0.264,-623,668,-183.0,485.0,-0.053,0.002,0,460,383,383,-0.055,0.058,,,,,,489.0
KDH,3,2020,1755,1.872,1.236,-1211,544,-60.0,484.0,0.298,0.417,0,470,362,362,0.223,0.425,,,,,,485.0
KDH,2,2020,785,0.922,0.119,-368,417,-75.0,341.0,1.029,0.438,0,323,254,254,1.256,0.643,,,,,,344.0
KDH,1,2020,701,-0.167,-0.264,-366,335,-98.0,237.0,0.395,-0.536,0,205,155,154,0.511,-0.618,,,,,,240.0
KDH,4,2019,952,-0.397,0.558,-367,585,-73.0,512.0,-0.142,0.374,0,523,405,405,0.0,0.369,,,,,,515.0
KDH,3,2019,611,0.498,0.497,-194,418,-45.0,373.0,0.877,1.215,-3,371,296,296,0.761,1.629,,,,,,375.0
KDH,2,2019,408,-0.211,-0.515,-173,235,-67.0,168.0,1.438,-0.012,0,149,113,112,-0.136,0.1,,,,,,170.0
KDH,1,2019,841,1.048,-0.467,-578,264,-93.0,170.0,0.362,-0.715,-8,147,102,102,-0.033,-0.748,,,,,,172.0
KDH,4,2018,1580,0.838,2.871,-897,683,-86.0,597.0,1.469,2.005,-14,545,405,405,2.034,1.411,,,,,,599.0
KDH,3,2018,408,-0.13,-0.212,-169,239,-41.0,199.0,0.113,1.878,-9,225,169,168,0.2,0.29,,,,,,203.0
KDH,2,2018,518,-0.606,0.26,-378,140,-71.0,69.0,-0.723,-0.448,-6,181,130,130,0.054,0.231,,,,,,71.0
KDH,1,2018,411,-0.359,-0.522,-228,183,-58.0,125.0,-0.193,-0.483,-10,131,107,106,-0.039,-0.208,,,,,,127.0
KDH,4,2017,860,-0.607,0.834,-589,271,-29.0,242.0,0.121,0.354,-1,236,149,133,0.247,-0.047,,,,,,243.0
KDH,3,2017,469,0.142,-0.643,-256,213,-34.0,178.0,0.593,-0.283,-5,175,163,140,0.989,0.133,,,,,,180.0
KDH,2,2017,1314,0.926,1.05,-973,341,-93.0,249.0,0.32,0.607,-12,206,133,124,0.155,0.122,,,,,,249.0
