1	AAA	50	50	8,000	8,000
2	ACB	50	50	21,000	21,000
3	ACL	50	50	12,000	12,000
4	ADS	50	50	11,000	11,000
5	AGG	50	50	32,000	32,000
6	AGR	50	50	9,000	9,000
7	ANV	50	50	30,000	30,000
8	ASM	50	50	10,000	10,000
9	BAF	50	50	15,000	15,000
10	BCC	50	50	7,000	7,000
11	BCM	50	50	68,000	68,000
12	BFC	50	50	18,500	18,500
13	BIC	50	50	30,800	30,800
14	BID	50	50	37,200	37,200
15	BMI	50	50	22,000	22,000
16	BMP	50	50	59,400	59,400
17	BSI	50	50	14,000	14,000
18	BVH	50	50	58,800	58,800
19	BVS	50	50	18,000	18,000
20	BWE	50	50	46,700	46,700
21	CCL	50	50	6,000	6,000
22	CKG	50	50	14,500	14,500
23	CMG	50	50	40,000	40,000
24	CMX	50	50	9,000	9,000
25	CNG	50	50	30,000	30,000
26	CRE	50	50	13,000	13,000
27	CSC	50	50	30,000	30,000
28	CSM	50	50	15,000	15,000
29	CSV	50	50	35,000	35,000
30	CTD	50	50	45,000	45,000
31	CTF	50	50	17,900	17,900
32	CTG	50	50	21,900	21,900
33	CTR	50	50	55,000	55,000
34	CTS	50	50	10,900	10,900
35	D2D	50	50	27,000	27,000
36	DBC	50	50	18,000	18,000
37	DBD	50	50	41,000	41,000
38	DCL	50	50	25,000	25,000
39	DCM	50	50	25,000	25,000
40	DDG	50	50	17,000	17,000
41	DGC	50	50	50,000	50,000
42	DGW	50	50	62,000	62,000
43	DHA	50	50	30,000	30,000
44	DHC	50	50	60,500	60,500
45	DIG	50	50	16,000	16,000
46	DPG	50	50	25,000	25,000
47	DPM	50	50	45,000	45,000
48	DPR	50	50	52,000	52,000
49	DRC	50	50	28,100	28,100
50	DTD	50	50	16,000	16,000
51	DXG	50	50	12,000	12,000
52	DXP	50	50	10,000	10,000
53	DXS	50	50	7,000	7,000
54	EIB	50	50	29,000	29,000
55	ELC	50	50	8,000	8,000
56	EVE	50	50	9,200	9,200
57	EVF	50	50	8,000	8,000
58	FCN	50	50	9,000	9,000
59	FMC	50	50	35,000	35,000
60	FPT	50	50	88,500	88,500
61	FRT	50	50	53,000	53,000
62	FTS	50	50	21,900	21,900
63	GAS	50	50	119,000	119,000
64	GEG	50	50	13,500	13,500
65	GEX	50	50	14,000	14,000
66	GIL	50	50	27,000	27,000
67	GMD	50	50	51,000	51,000
68	GVR	50	50	14,000	14,000
69	HAH	50	50	36,900	36,900
70	HAX	50	50	15,200	15,200
71	HBC	50	50	10,000	10,000
72	HCM	50	50	17,000	17,000
73	HDB	50	50	16,000	16,000
74	HDC	50	50	26,000	26,000
75	HDG	50	50	30,000	30,000
76	HHV	50	50	10,000	10,000
77	HII	50	50	5,000	5,000
78	HPG	50	50	19,300	19,300
79	HPX	50	50	22,000	22,000
80	HSG	50	50	15,000	15,000
81	HT1	50	50	10,000	10,000
82	HTN	50	50	18,000	18,000
83	IDC	50	50	40,000	40,000
84	IJC	50	50	13,000	13,000
85	KBC	50	50	16,000	16,000
86	KDC	50	50	55,000	55,000
87	KDH	50	50	21,000	21,000
88	KHG	50	50	6,000	6,000
89	KSB	50	50	15,000	15,000
90	LAS	50	50	10,000	10,000
91	LCG	50	50	8,000	8,000
92	LPB	50	50	9,000	9,000
93	LSS	50	50	6,000	6,000
94	MBB	50	50	19,500	19,500
95	MBS	50	50	10,000	10,000
96	MIG	50	50	15,000	15,000
97	MSB	50	50	11,000	11,000
98	MSH	50	50	29,000	29,000
99	MSN	50	50	82,200	82,200
100	MWG	50	50	58,500	58,500
101	NAF	50	50	10,000	10,000
102	NBC	50	50	7,000	7,000
103	NHA	50	50	14,000	14,000
104	NHH	50	50	13,000	13,000
105	NKG	50	50	12,000	12,000
106	NLG	50	50	27,300	27,300
107	NT2	50	50	26,000	26,000
108	NTL	50	50	17,000	17,000
109	NTP	50	50	30,000	30,000
110	NVB	50	50	12,000	12,000
111	NVL	50	50	60,000	60,000
112	OCB	50	50	14,000	14,000
113	ORS	50	50	8,000	8,000
114	PAN	50	50	20,000	20,000
115	PC1	50	50	20,000	20,000
116	PDR	50	50	40,300	40,300
117	PET	50	50	24,000	24,000
118	PHC	50	50	8,000	8,000
119	PHR	50	50	44,900	44,900
120	PLC	50	50	22,000	22,000
121	PLP	50	50	6,000	6,000
122	PLX	50	50	31,900	31,900
123	PNJ	50	50	117,700	117,700
124	POW	50	50	11,700	11,700
125	PPC	50	50	15,000	15,000
126	PTB	50	50	57,200	57,200
127	PVI	50	50	45,000	45,000
128	PVS	50	50	22,000	22,000
129	PVT	50	50	18,400	18,400
130	REE	50	50	86,400	86,400
131	SAB	50	50	148,000	148,000
132	SAM	50	50	8,600	8,600
133	SBT	50	50	14,800	14,800
134	SCR	50	50	7,000	7,000
135	SHB	50	50	10,000	10,000
136	SHI	50	50	12,500	12,500
137	SJS	50	50	36,000	36,000
138	SMC	50	50	10,000	10,000
139	SSB	50	50	15,000	15,000
140	SSI	50	50	16,000	16,000
141	STB	50	50	16,000	16,000
142	STK	50	50	27,000	27,000
143	SZC	50	50	27,000	27,000
144	TAR	50	50	17,000	17,000
145	TCH	50	50	7,000	7,000
146	TCL	50	50	29,000	29,000
147	TCM	50	50	39,100	39,100
148	TDC	50	50	13,000	13,000
149	TDM	50	50	35,500	35,500
150	TDN	50	50	7,000	7,000
151	TDP	50	50	24,000	24,000
152	THG	50	50	43,000	43,000
